county_desc	precinct_abbrv	vtd_abbrv	age	party_cd	race_code	ethnic_code	sex_code	total_voters	election_date	stats_type	update_date	voting_method	voting_method_desc	voted_party_cd
WAKE	08-10	08-10	Age 18 - 25	UNA	W	UN	M	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
WILKES	108	108	Age Over 66	UNA	W	NL	M	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
NEW HANOVER	M04	M04	Age Over 66	UNA	W	HL	U	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
CABARRUS	12-12	12-12	Age 26 - 40	LIB	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	LIB
ROBESON	10	10	Age 26 - 40	DEM	W	NL	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
WAKE	04-18	04-18	Age 26 - 40	DEM	W	NL	F	21	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
ORANGE	CF1	BC	Age 26 - 40	DEM	B	UN	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
FORSYTH	042	042	Age 41 - 65	DEM	B	UN	M	1	11/03/2020	history	01/13/2021	ABS-CURB	ABS-CURB	DEM
CUMBERLAND	CC15	CC15	Age 26 - 40	UNA	U	UN	U	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
DUPLIN	CHAR	CHAR	Age Over 66	UNA	W	NL	M	2	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
CASWELL	YANC	YAN4	Age 26 - 40	DEM	B	UN	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
MECKLENBURG	227	227	Age 26 - 40	DEM	B	NL	M	18	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
IREDELL	OL	OL	Age Over 66	REP	W	NL	M	32	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
WAKE	20-09	20-09	Age 18 - 25	UNA	W	NL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
WAKE	08-03	08-03	Age 26 - 40	REP	O	HL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	REP
IREDELL	SH-A	SH-A	Age 41 - 65	UNA	W	UN	F	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
CUMBERLAND	G6C	G6	Age Over 66	DEM	B	UN	U	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
HYDE	LL	LL	Age 18 - 25	DEM	W	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
ROBESON	24	24	Age 41 - 65	REP	W	NL	M	3	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
WILKES	122	122	Age 41 - 65	DEM	B	NL	F	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
GUILFORD	G48	G48	Age Over 66	DEM	U	UN	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MONTGOMERY	ROC	ROC	Age 26 - 40	UNA	B	NL	F	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
DURHAM	29	29	Age 18 - 25	DEM	U	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
MECKLENBURG	104	104	Age 41 - 65	DEM	B	UN	F	12	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
CUMBERLAND	G4C	G4	Age Over 66	UNA	U	UN	U	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
ORANGE	CH	CH	Age 18 - 25	DEM	O	NL	M	1	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
BURKE	0029-B	0029	Age Over 66	REP	W	UN	M	4	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
CATAWBA	07	07	Age 26 - 40	DEM	W	NL	F	14	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
LINCOLN	LW31	LW31	Age 41 - 65	UNA	O	NL	M	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
WAKE	01-07	01-07	Age 41 - 65	DEM	W	NL	M	32	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
MECKLENBURG	102	102	Age 26 - 40	DEM	O	UN	F	2	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
BUNCOMBE	61.1	61.1	Age 18 - 25	DEM	W	NL	M	2	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	DEM
GUILFORD	CG3A	CG3A	Age 41 - 65	REP	W	UN	U	1	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	REP
ROWAN	07	07	Age 41 - 65	UNA	W	NL	F	14	11/03/2020	history	01/13/2021	IN-PERSON	IN-PERSON	UNA
SURRY	31	14	Age 18 - 25	UNA	O	HL	F	1	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	UNA
HERTFORD	A1	A1	Age Over 66	DEM	W	NL	F	39	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	DEM
WAYNE	06	06	Age 26 - 40	UNA	U	UN	U	9	11/03/2020	history	01/13/2021	ABS-1STOP	ABS-1STOP	UNA
ALAMANCE	09S	09S	Age 41 - 65	DEM	B	UN	F	4	11/03/2020	history	01/13/2021	ABS-MAIL	ABS-MAIL	DEM
