county_desc	election_date	stats_type	precinct_abbrv	vtd_abbrv	party_cd	race_code	ethnic_code	sex_code	age	total_voters	update_date
FORSYTH	11/03/2020	voter	405	405	DEM	U	HL	U	Age 18 - 25	1	
RANDOLPH	11/03/2020	voter	RM	31	DEM	M	NL	F	Age 26 - 40	1	
CAMDEN	11/03/2020	voter	SH	SH	LIB	W	NL	F	Age 26 - 40	1	
CUMBERLAND	11/03/2020	voter	SL78-3	G11	DEM	M	HL	F	Age 26 - 40	4	
WAKE	11/03/2020	voter	18-05	18-05	REP	A	NL	M	Age 41 - 65	11	
CATAWBA	11/03/2020	voter	25	25	UNA	O	HL	M	Age Over 66	1	
WAKE	11/03/2020	voter	12-05	12-05	DEM	A	NL	M	Age 18 - 25	2	
BRUNSWICK	11/03/2020	voter	07	07	UNA	W	UN	U	Age 41 - 65	1	
RANDOLPH	11/03/2020	voter	RM	31	UNA	B	NL	F	Age 26 - 40	9	
LINCOLN	11/03/2020	voter	BS26	BS26	LIB	W	NL	F	Age 26 - 40	1	
ONSLOW	11/03/2020	voter	HN14	HN14	UNA	W	UN	F	Age 41 - 65	21	
WAKE	11/03/2020	voter	13-07	13-07	DEM	W	NL	M	Age 26 - 40	22	
RUTHERFORD	11/03/2020	voter	11	11	UNA	U	HL	F	Age 18 - 25	1	
VANCE	11/03/2020	voter	KITT	KITT	REP	W	UN	F	Age 26 - 40	15	
ALEXANDER	11/03/2020	voter	B1	B1	UNA	A	NL	F	Age 41 - 65	2	
NEW HANOVER	11/03/2020	voter	H10	H07	LIB	B	NL	F	Age 26 - 40	2	
MECKLENBURG	11/03/2020	voter	077	077	REP	W	UN	F	Age 18 - 25	1	
NASH	11/03/2020	voter	P18A	0038	DEM	O	HL	M	Age 18 - 25	1	
CUMBERLAND	11/03/2020	voter	CC01	CC01	DEM	U	HL	F	Age 26 - 40	2	
LENOIR	11/03/2020	voter	K5	K5	UNA	B	NL	M	Age Over 66	2	
GUILFORD	11/03/2020	voter	JEF4	JEF4	LIB	B	NL	M	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	001	001	REP	U	UN	U	Age Over 66	2	
ALAMANCE	11/03/2020	voter	104	10S	UNA	W	NL	M	Age Over 66	19	
WILSON	11/03/2020	voter	PRWL	PRWL	REP	B	NL	M	Age 41 - 65	2	
MECKLENBURG	11/03/2020	voter	122	122	UNA	B	UN	U	Age 26 - 40	3	
MECKLENBURG	11/03/2020	voter	052	052	UNA	W	UN	M	Age Over 66	2	
FORSYTH	11/03/2020	voter	101	101	DEM	B	UN	M	Age 26 - 40	6	
NEW HANOVER	11/03/2020	voter	M04	M04	DEM	W	UN	F	Age 18 - 25	12	
RANDOLPH	11/03/2020	voter	AE	05	REP	O	NL	M	Age 41 - 65	2	
CABARRUS	11/03/2020	voter	01-07	01-07	REP	U	UN	M	Age 18 - 25	2	
WAKE	11/03/2020	voter	17-06	17-06	UNA	W	NL	M	Age 18 - 25	23	
CALDWELL	11/03/2020	voter	PR33	PR06	REP	A	UN	F	Age 26 - 40	1	
JOHNSTON	11/03/2020	voter	PR10A	PR10	REP	W	NL	M	Age 41 - 65	133	
BURKE	11/03/2020	voter	0051	0051	REP	U	HL	F	Age Over 66	1	
DAVIDSON	11/03/2020	voter	84	84	UNA	W	UN	F	Age 41 - 65	55	
MECKLENBURG	11/03/2020	voter	203	203	DEM	O	NL	F	Age 26 - 40	14	
EDGECOMBE	11/03/2020	voter	0701	0701	UNA	B	UN	F	Age Over 66	1	
CHOWAN	11/03/2020	voter	1	1	DEM	B	NL	F	Age 41 - 65	149	
BERTIE	11/03/2020	voter	W1	W1	REP	U	UN	F	Age 26 - 40	1	
NEW HANOVER	11/03/2020	voter	H06	H06	UNA	M	HL	M	Age Over 66	1	
JOHNSTON	11/03/2020	voter	PR29B	PR29B	UNA	U	UN	F	Age Over 66	14	
FORSYTH	11/03/2020	voter	206	206	UNA	U	HL	M	Age 18 - 25	6	
MECKLENBURG	11/03/2020	voter	229	229	REP	O	UN	M	Age Over 66	3	
UNION	11/03/2020	voter	029A	029A	REP	U	UN	U	Age 26 - 40	44	
RICHMOND	11/03/2020	voter	12	12	DEM	U	UN	U	Age 18 - 25	2	
FORSYTH	11/03/2020	voter	067	067	REP	W	NL	F	Age Over 66	134	
MECKLENBURG	11/03/2020	voter	103	103	UNA	O	NL	M	Age Over 66	4	
MECKLENBURG	11/03/2020	voter	002	002	REP	W	NL	M	Age Over 66	18	
CUMBERLAND	11/03/2020	voter	G8B	G8	DEM	A	NL	F	Age 26 - 40	3	
CATAWBA	11/03/2020	voter	20	20	DEM	W	HL	M	Age 26 - 40	1	
MCDOWELL	11/03/2020	voter	FORT 1	FORT-1	REP	B	UN	F	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	219	219	LIB	W	NL	F	Age 26 - 40	1	
CUMBERLAND	11/03/2020	voter	CC10	CC10	DEM	U	UN	U	Age 18 - 25	6	
MECKLENBURG	11/03/2020	voter	126	126	DEM	W	NL	F	Age 18 - 25	13	
WAKE	11/03/2020	voter	13-06	13-06	DEM	W	NL	M	Age Over 66	45	
MECKLENBURG	11/03/2020	voter	107.1	107.1	UNA	U	UN	M	Age 18 - 25	4	
BUNCOMBE	11/03/2020	voter	02.1	02.1	UNA	W	HL	F	Age 18 - 25	2	
HAYWOOD	11/03/2020	voter	BE-2	BE-2	DEM	U	UN	U	Age 18 - 25	1	
ROWAN	11/03/2020	voter	26	26	UNA	B	NL	M	Age 41 - 65	1	
GUILFORD	11/03/2020	voter	CG3B	CG3B	REP	U	UN	F	Age 41 - 65	1	
ORANGE	11/03/2020	voter	NS	NS	UNA	B	UN	F	Age Over 66	1	
HENDERSON	11/03/2020	voter	NW	NW	REP	W	UN	M	Age Over 66	21	
WAKE	11/03/2020	voter	01-30	01-30	REP	W	NL	M	Age Over 66	39	
BURKE	11/03/2020	voter	0053	0053	UNA	W	NL	M	Age 41 - 65	118	
DURHAM	11/03/2020	voter	09	09	UNA	W	UN	F	Age 26 - 40	20	
HERTFORD	11/03/2020	voter	BR	BR	REP	W	NL	M	Age 41 - 65	3	
WAKE	11/03/2020	voter	07-05	07-05	UNA	B	UN	M	Age 18 - 25	3	
GUILFORD	11/03/2020	voter	SF1	SF1	DEM	B	UN	F	Age Over 66	2	
BRUNSWICK	11/03/2020	voter	04B2	04	UNA	A	UN	M	Age Over 66	1	
ANSON	11/03/2020	voter	WS	WS	UNA	A	NL	F	Age 41 - 65	1	
GUILFORD	11/03/2020	voter	G69	G69	DEM	B	UN	F	Age 26 - 40	72	
GASTON	11/03/2020	voter	04	04	UNA	A	NL	M	Age 41 - 65	1	
DAVIDSON	11/03/2020	voter	78	78	UNA	W	NL	M	Age 41 - 65	146	
CHEROKEE	11/03/2020	voter	BRAS	BRAS	UNA	U	UN	U	Age 26 - 40	2	
BUNCOMBE	11/03/2020	voter	12.1	12.1	DEM	U	HL	F	Age Over 66	1	
FRANKLIN	11/03/2020	voter	14	14	DEM	U	UN	F	Age 41 - 65	4	
WAKE	11/03/2020	voter	12-09	12-09	DEM	B	NL	M	Age 41 - 65	44	
BRUNSWICK	11/03/2020	voter	10A	10	REP	W	HL	M	Age 26 - 40	2	
LINCOLN	11/03/2020	voter	LS12	LS12	UNA	W	UN	F	Age 26 - 40	8	
WAKE	11/03/2020	voter	17-04	17-04	DEM	U	UN	M	Age 18 - 25	1	
BUNCOMBE	11/03/2020	voter	23.2	103.1	REP	W	NL	F	Age 26 - 40	1	
WAKE	11/03/2020	voter	01-51	01-51	UNA	O	NL	F	Age 26 - 40	1	
WAKE	11/03/2020	voter	01-49	01-49	REP	B	NL	M	Age 18 - 25	3	
ROWAN	11/03/2020	voter	17	17	UNA	U	HL	M	Age 26 - 40	3	
LEE	11/03/2020	voter	E1	E	DEM	B	UN	M	Age 41 - 65	14	
UNION	11/03/2020	voter	013	013	DEM	B	NL	M	Age 18 - 25	1	
WARREN	11/03/2020	voter	006	006	DEM	W	UN	U	Age 41 - 65	1	
PENDER	11/03/2020	voter	UU17	UU17	DEM	M	NL	F	Age 41 - 65	1	
HOKE	11/03/2020	voter	15	06	UNA	O	NL	F	Age Over 66	3	
CATAWBA	11/03/2020	voter	07	07	UNA	O	UN	M	Age 18 - 25	2	
ROWAN	11/03/2020	voter	01	01	UNA	W	UN	F	Age 26 - 40	12	
FORSYTH	11/03/2020	voter	907	907	UNA	W	UN	M	Age 41 - 65	14	
BEAUFORT	11/03/2020	voter	WASH4	WASH4	DEM	U	HL	U	Age 41 - 65	1	
UNION	11/03/2020	voter	001	001	UNA	O	NL	F	Age 41 - 65	2	
UNION	11/03/2020	voter	022	022	UNA	W	HL	F	Age 41 - 65	2	
MECKLENBURG	11/03/2020	voter	221	221	UNA	W	HL	M	Age 41 - 65	2	
DURHAM	11/03/2020	voter	03	03	DEM	A	UN	M	Age 26 - 40	4	
LINCOLN	11/03/2020	voter	AS25	AS25	REP	W	NL	F	Age 18 - 25	34	
NEW HANOVER	11/03/2020	voter	H08	H08	REP	U	UN	M	Age Over 66	1	
ROBESON	11/03/2020	voter	28	28	UNA	W	NL	M	Age 18 - 25	3	
CASWELL	11/03/2020	voter	LEAS	LEAS	DEM	B	UN	U	Age 18 - 25	1	
STANLY	11/03/2020	voter	0022	0022	UNA	W	UN	M	Age 18 - 25	1	
DURHAM	11/03/2020	voter	53-2	53-2	UNA	W	NL	F	Age 18 - 25	69	
MECKLENBURG	11/03/2020	voter	086	086	REP	W	UN	F	Age 18 - 25	8	
LINCOLN	11/03/2020	voter	CF19	CF19	REP	W	UN	M	Age 18 - 25	3	
UNION	11/03/2020	voter	037A	037A	DEM	O	UN	M	Age 18 - 25	1	
CAMDEN	11/03/2020	voter	CH	CH	LIB	W	NL	M	Age 41 - 65	1	
NEW HANOVER	11/03/2020	voter	H06	H06	UNA	B	UN	U	Age 41 - 65	1	
GUILFORD	11/03/2020	voter	G24	G24	UNA	B	NL	M	Age 41 - 65	11	
HALIFAX	11/03/2020	voter	RINGW	RINGW	DEM	I	NL	F	Age Over 66	3	
GASTON	11/03/2020	voter	30	30	REP	U	HL	M	Age 26 - 40	1	
ORANGE	11/03/2020	voter	NS	NS	DEM	B	NL	M	Age 41 - 65	48	
SWAIN	11/03/2020	voter	WHCH	WHCH	REP	O	HL	F	Age 41 - 65	1	
JOHNSTON	11/03/2020	voter	PR25	PR25	LIB	M	HL	F	Age 18 - 25	1	
GREENE	11/03/2020	voter	MAUR	MAUR	UNA	B	UN	M	Age Over 66	1	
JOHNSTON	11/03/2020	voter	PR12A	PR12	LIB	O	HL	M	Age 26 - 40	1	
BUNCOMBE	11/03/2020	voter	68.1	68.1	DEM	B	NL	F	Age Over 66	6	
COLUMBUS	11/03/2020	voter	P15	P15	REP	B	UN	M	Age 26 - 40	1	
WAKE	11/03/2020	voter	20-03	20-03	DEM	W	NL	M	Age 26 - 40	65	
CRAVEN	11/03/2020	voter	16	16	DEM	B	UN	F	Age Over 66	8	
SAMPSON	11/03/2020	voter	CLWE	CLWE	REP	B	UN	F	Age 41 - 65	1	
ROBESON	11/03/2020	voter	11	11	UNA	W	NL	U	Age 26 - 40	1	
WAKE	11/03/2020	voter	01-32	01-32	UNA	A	NL	F	Age 41 - 65	1	
PENDER	11/03/2020	voter	MT19	MT19	REP	W	HL	F	Age 26 - 40	3	
WILSON	11/03/2020	voter	PRSP	PRSP	REP	B	NL	M	Age 26 - 40	3	
WAKE	11/03/2020	voter	16-09	16-09	UNA	A	NL	F	Age 18 - 25	1	
CUMBERLAND	11/03/2020	voter	G9B-1	G9	LIB	B	UN	M	Age 26 - 40	1	
UNION	11/03/2020	voter	028B	028	DEM	W	HL	M	Age 41 - 65	2	
CUMBERLAND	11/03/2020	voter	SL78-3	G11	DEM	W	UN	M	Age 18 - 25	1	
UNION	11/03/2020	voter	020B	020B	DEM	W	UN	M	Age 18 - 25	4	
CUMBERLAND	11/03/2020	voter	CC13	CC13	REP	W	UN	F	Age 18 - 25	2	
PAMLICO	11/03/2020	voter	2OT	2OT	REP	U	NL	M	Age 41 - 65	1	
ORANGE	11/03/2020	voter	CO	CO	UNA	W	NL	M	Age 26 - 40	92	
SURRY	11/03/2020	voter	32	20	REP	O	NL	F	Age Over 66	1	
WAKE	11/03/2020	voter	09-03	09-03	UNA	W	UN	F	Age 26 - 40	25	
DURHAM	11/03/2020	voter	40	40	UNA	A	UN	F	Age 26 - 40	1	
IREDELL	11/03/2020	voter	ST5	ST5	UNA	U	NL	F	Age Over 66	1	
WAYNE	11/03/2020	voter	06	06	DEM	I	UN	F	Age 41 - 65	1	
HENDERSON	11/03/2020	voter	PR	PR	REP	W	NL	M	Age Over 66	137	
CAMDEN	11/03/2020	voter	SM	SM	REP	O	NL	F	Age 41 - 65	2	
FORSYTH	11/03/2020	voter	042	042	DEM	I	NL	F	Age Over 66	1	
BRUNSWICK	11/03/2020	voter	04A	04	UNA	U	UN	M	Age 26 - 40	6	
GUILFORD	11/03/2020	voter	G07	G07	DEM	M	UN	F	Age 26 - 40	3	
GREENE	11/03/2020	voter	BEAR	BEAR	UNA	W	UN	F	Age 41 - 65	4	
GASTON	11/03/2020	voter	17	17	UNA	U	HL	F	Age 18 - 25	4	
FORSYTH	11/03/2020	voter	021	021	DEM	W	UN	M	Age 41 - 65	15	
MONTGOMERY	11/03/2020	voter	STA	STA	UNA	W	UN	U	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	114	114	DEM	B	UN	F	Age 18 - 25	1	
DARE	11/03/2020	voter	FRCO	FRCO	UNA	W	HL	M	Age 41 - 65	1	
NASH	11/03/2020	voter	P24A	0035	REP	B	NL	F	Age 41 - 65	6	
MECKLENBURG	11/03/2020	voter	057	057	UNA	U	UN	F	Age Over 66	1	
MCDOWELL	11/03/2020	voter	NEBO	NEBO	UNA	B	UN	F	Age 41 - 65	1	
FRANKLIN	11/03/2020	voter	17	17	UNA	B	UN	U	Age 41 - 65	2	
ALAMANCE	11/03/2020	voter	08S	08S	LIB	W	NL	M	Age 18 - 25	1	
FORSYTH	11/03/2020	voter	904	904	UNA	W	NL	F	Age 41 - 65	39	
DAVIDSON	11/03/2020	voter	84	84	DEM	O	HL	M	Age 41 - 65	2	
MECKLENBURG	11/03/2020	voter	110	110	REP	W	UN	F	Age 18 - 25	6	
MECKLENBURG	11/03/2020	voter	112	112	DEM	W	NL	F	Age Over 66	48	
PITT	11/03/2020	voter	1507	1507	DEM	B	NL	M	Age Over 66	19	
WAKE	11/03/2020	voter	14-02	14-02	REP	M	UN	M	Age 41 - 65	2	
WAKE	11/03/2020	voter	20-04	20-04	DEM	U	UN	F	Age 18 - 25	6	
MECKLENBURG	11/03/2020	voter	108	108	UNA	B	UN	M	Age 26 - 40	29	
FORSYTH	11/03/2020	voter	205	205	UNA	B	NL	M	Age 41 - 65	13	
RANDOLPH	11/03/2020	voter	NM	26	UNA	W	NL	M	Age 18 - 25	32	
HAYWOOD	11/03/2020	voter	BE-2	BE-2	UNA	U	UN	M	Age Over 66	1	
WAKE	11/03/2020	voter	17-03	17-03	LIB	U	UN	U	Age 41 - 65	3	
BLADEN	11/03/2020	voter	P55	P55	UNA	I	NL	M	Age 41 - 65	1	
WATAUGA	11/03/2020	voter	07	07	LIB	W	NL	F	Age 26 - 40	3	
GUILFORD	11/03/2020	voter	FEN1	FEN1	UNA	B	UN	F	Age 41 - 65	9	
ONSLOW	11/03/2020	voter	HM05	HM05	UNA	A	NL	F	Age 41 - 65	4	
BUNCOMBE	11/03/2020	voter	45.1	45.1	DEM	U	UN	U	Age 26 - 40	28	
FORSYTH	11/03/2020	voter	304	304	UNA	W	UN	F	Age 41 - 65	1	
ALEXANDER	11/03/2020	voter	M	M	DEM	W	HL	M	Age 18 - 25	2	
WILSON	11/03/2020	voter	PRWP	PRWP	DEM	O	UN	M	Age 18 - 25	1	
IREDELL	11/03/2020	voter	ST6	ST6	DEM	U	HL	U	Age 18 - 25	1	
ALLEGHANY	11/03/2020	voter	04	04	DEM	U	HL	F	Age 26 - 40	1	
RANDOLPH	11/03/2020	voter	AN	10	UNA	O	NL	F	Age 41 - 65	3	
ROBESON	11/03/2020	voter	24	24	REP	W	NL	F	Age 41 - 65	7	
MONTGOMERY	11/03/2020	voter	MTG	MTG	REP	W	UN	F	Age 18 - 25	2	
MECKLENBURG	11/03/2020	voter	241	241	UNA	U	HL	M	Age 18 - 25	2	
BEAUFORT	11/03/2020	voter	AUROR	AUROR	REP	W	NL	F	Age Over 66	35	
WAKE	11/03/2020	voter	04-16	04-16	DEM	A	NL	M	Age 26 - 40	3	
MECKLENBURG	11/03/2020	voter	205	205	UNA	W	UN	M	Age Over 66	4	
HENDERSON	11/03/2020	voter	HS	HS	GRE	W	NL	F	Age 41 - 65	1	
CASWELL	11/03/2020	voter	YANC	YAN2	REP	W	NL	M	Age 26 - 40	16	
IREDELL	11/03/2020	voter	ST5	ST5	REP	I	NL	M	Age Over 66	1	
WAKE	11/03/2020	voter	17-06	17-06	UNA	W	NL	F	Age 41 - 65	90	
LINCOLN	11/03/2020	voter	IS23	IS23	LIB	W	NL	F	Age 26 - 40	6	
BRUNSWICK	11/03/2020	voter	07	07	REP	W	UN	M	Age 18 - 25	10	
FORSYTH	11/03/2020	voter	075	075	DEM	W	NL	M	Age 41 - 65	16	
GREENE	11/03/2020	voter	SUGG	SUGG	UNA	W	NL	M	Age 18 - 25	22	
PITT	11/03/2020	voter	1508A	1508A	UNA	W	NL	F	Age 26 - 40	98	
GUILFORD	11/03/2020	voter	FR4	FR4	UNA	W	UN	M	Age Over 66	2	
ROWAN	11/03/2020	voter	40	40	LIB	W	NL	M	Age 41 - 65	2	
WAYNE	11/03/2020	voter	07	07	UNA	O	NL	F	Age 41 - 65	1	
NEW HANOVER	11/03/2020	voter	H01	H01	UNA	O	NL	M	Age 26 - 40	1	
PITT	11/03/2020	voter	1301	1301	REP	W	NL	U	Age 41 - 65	1	
WAKE	11/03/2020	voter	08-10	08-10	DEM	A	UN	U	Age 26 - 40	1	
WAKE	11/03/2020	voter	01-07	01-07	REP	O	NL	M	Age 18 - 25	1	
GUILFORD	11/03/2020	voter	G53	G53	REP	B	NL	F	Age 41 - 65	9	
CUMBERLAND	11/03/2020	voter	CC27	CC27	DEM	U	HL	F	Age 18 - 25	6	
SURRY	11/03/2020	voter	05	05	UNA	O	NL	M	Age 18 - 25	1	
HARNETT	11/03/2020	voter	PR26	PR26	REP	W	NL	F	Age 18 - 25	61	
PITT	11/03/2020	voter	0800A	0800A	DEM	O	UN	F	Age 41 - 65	1	
NEW HANOVER	11/03/2020	voter	CF02	CF02	UNA	W	NL	M	Age 26 - 40	80	
WAKE	11/03/2020	voter	01-46	01-46	REP	U	HL	F	Age Over 66	1	
GASTON	11/03/2020	voter	28	28	UNA	W	UN	M	Age 41 - 65	28	
WAKE	11/03/2020	voter	19-15	19-06	DEM	O	UN	M	Age 41 - 65	2	
WILSON	11/03/2020	voter	PRTA	PRTA	CST	B	UN	M	Age 41 - 65	1	
DAVIDSON	11/03/2020	voter	04	04	UNA	B	NL	M	Age 18 - 25	3	
CUMBERLAND	11/03/2020	voter	G3A-2	G3	DEM	W	UN	U	Age Over 66	2	
MECKLENBURG	11/03/2020	voter	220	220	REP	A	NL	M	Age Over 66	1	
ANSON	11/03/2020	voter	ANS	ANS	REP	W	UN	M	Age Over 66	4	
GRANVILLE	11/03/2020	voter	SASS	SASS	REP	U	UN	U	Age 18 - 25	4	
CUMBERLAND	11/03/2020	voter	G3A-2	G3	DEM	B	UN	F	Age 18 - 25	9	
CUMBERLAND	11/03/2020	voter	G6C	G6	REP	U	UN	F	Age Over 66	1	
SURRY	11/03/2020	voter	01	01	DEM	W	UN	M	Age Over 66	7	
UNION	11/03/2020	voter	025	025	UNA	A	NL	F	Age 41 - 65	1	
MECKLENBURG	11/03/2020	voter	067	067	UNA	W	UN	U	Age Over 66	1	
CARTERET	11/03/2020	voter	MHD1	MHD1	REP	B	UN	M	Age 26 - 40	4	
MECKLENBURG	11/03/2020	voter	223.1	223.1	REP	M	NL	F	Age Over 66	1	
HARNETT	11/03/2020	voter	PR25	PR25	DEM	U	UN	M	Age 26 - 40	3	
JOHNSTON	11/03/2020	voter	PR38	PR18	REP	O	HL	M	Age 18 - 25	2	
DURHAM	11/03/2020	voter	26	26	DEM	B	UN	F	Age 18 - 25	1	
GUILFORD	11/03/2020	voter	G24	G24	REP	W	NL	F	Age 26 - 40	22	
HENDERSON	11/03/2020	voter	HC	HC	UNA	W	HL	F	Age 41 - 65	2	
FORSYTH	11/03/2020	voter	132	132	UNA	W	NL	M	Age 18 - 25	79	
CUMBERLAND	11/03/2020	voter	G2C-1	G2	LIB	W	UN	F	Age 41 - 65	1	
FORSYTH	11/03/2020	voter	401	401	UNA	W	UN	U	Age 26 - 40	1	
DURHAM	11/03/2020	voter	21	21	REP	W	UN	F	Age Over 66	1	
ALAMANCE	11/03/2020	voter	03N2	03N	REP	W	UN	M	Age 41 - 65	3	
ALAMANCE	11/03/2020	voter	03W	03W	DEM	B	UN	F	Age 41 - 65	10	
CUMBERLAND	11/03/2020	voter	G3A-1	G9	DEM	U	UN	U	Age 26 - 40	1	
CASWELL	11/03/2020	voter	LOCU	LOCU	DEM	B	UN	M	Age Over 66	18	
ROWAN	11/03/2020	voter	34	34	REP	B	UN	M	Age 41 - 65	2	
DAVIDSON	11/03/2020	voter	50	50	DEM	U	HL	M	Age 18 - 25	1	
TRANSYLVANIA	11/03/2020	voter	LR	LR	DEM	W	UN	F	Age 26 - 40	11	
CASWELL	11/03/2020	voter	LEAS	LEAS	UNA	W	NL	F	Age 18 - 25	10	
MECKLENBURG	11/03/2020	voter	232	232	UNA	W	NL	F	Age 18 - 25	71	
WAYNE	11/03/2020	voter	01	01	REP	U	UN	M	Age Over 66	1	
WAYNE	11/03/2020	voter	06	06	REP	A	NL	F	Age 26 - 40	2	
CHATHAM	11/03/2020	voter	PIT113	PIT113	DEM	A	NL	F	Age Over 66	1	
CUMBERLAND	11/03/2020	voter	CC04	CC04	UNA	A	UN	M	Age 26 - 40	1	
COLUMBUS	11/03/2020	voter	P22A	P22	REP	B	NL	F	Age 18 - 25	2	
WAYNE	11/03/2020	voter	08	08	UNA	A	NL	F	Age 26 - 40	1	
FORSYTH	11/03/2020	voter	806	806	UNA	U	UN	U	Age 41 - 65	15	
HENDERSON	11/03/2020	voter	EV	EV	DEM	W	HL	F	Age Over 66	2	
WAKE	11/03/2020	voter	19-19	19-10	REP	I	NL	F	Age 18 - 25	1	
NEW HANOVER	11/03/2020	voter	H10	H07	DEM	W	NL	F	Age 18 - 25	31	
UNION	11/03/2020	voter	028A	028	REP	W	UN	F	Age Over 66	16	
NEW HANOVER	11/03/2020	voter	W13	W13	DEM	B	NL	M	Age 41 - 65	34	
GUILFORD	11/03/2020	voter	G70	G70	DEM	U	UN	F	Age Over 66	1	
CUMBERLAND	11/03/2020	voter	G2C-1	G2	REP	W	NL	F	Age 26 - 40	58	
RANDOLPH	11/03/2020	voter	NM	25	UNA	O	UN	M	Age 26 - 40	1	
WAKE	11/03/2020	voter	04-05	04-05	DEM	O	NL	M	Age 26 - 40	3	
DAVIDSON	11/03/2020	voter	82	82	CST	U	UN	U	Age 41 - 65	1	
NEW HANOVER	11/03/2020	voter	W13	W13	DEM	P	NL	M	Age 26 - 40	1	
MECKLENBURG	11/03/2020	voter	009	009	REP	A	NL	M	Age 18 - 25	1	
PITT	11/03/2020	voter	1102B	1102B	LIB	W	NL	M	Age 26 - 40	5	
ALAMANCE	11/03/2020	voter	06N	06N	UNA	A	NL	M	Age 26 - 40	1	
GUILFORD	11/03/2020	voter	FEN1	FEN1	DEM	M	HL	F	Age 26 - 40	1	
CUMBERLAND	11/03/2020	voter	G2E-1	G2	UNA	U	UN	F	Age 26 - 40	3	
PASQUOTANK	11/03/2020	voter	EAST	1-A	UNA	B	NL	F	Age 26 - 40	9	
JACKSON	11/03/2020	voter	SDC	SYLDIL	REP	B	UN	M	Age 18 - 25	1	
BUNCOMBE	11/03/2020	voter	08.3	100.1	UNA	A	NL	M	Age 26 - 40	1	
WAKE	11/03/2020	voter	01-25	01-25	UNA	B	UN	M	Age 26 - 40	9	
COLUMBUS	11/03/2020	voter	P23	P23	UNA	W	UN	F	Age 41 - 65	10	
WAKE	11/03/2020	voter	01-50	01-50	REP	W	NL	F	Age 18 - 25	1	
SCOTLAND	11/03/2020	voter	01-16	01	REP	B	UN	U	Age Over 66	1	
FORSYTH	11/03/2020	voter	605	605	UNA	A	UN	M	Age 26 - 40	1	
CABARRUS	11/03/2020	voter	04-11	04-05	UNA	U	HL	U	Age 18 - 25	1	
WILKES	11/03/2020	voter	105	105	UNA	W	NL	M	Age 18 - 25	11	
GUILFORD	11/03/2020	voter	G59	G59	DEM	W	NL	F	Age 41 - 65	25	
SWAIN	11/03/2020	voter	BC2	BC2	REP	W	UN	M	Age 26 - 40	12	
WILKES	11/03/2020	voter	109	109	REP	U	UN	U	Age 41 - 65	9	
DURHAM	11/03/2020	voter	29	29	DEM	B	HL	F	Age 26 - 40	2	
GASTON	11/03/2020	voter	19	19	DEM	A	NL	F	Age 18 - 25	1	
MECKLENBURG	11/03/2020	voter	003	003	REP	A	NL	M	Age 26 - 40	4	
PERSON	11/03/2020	voter	ROX4	ROX4	UNA	W	HL	F	Age 26 - 40	1	
ORANGE	11/03/2020	voter	RE	PA	UNA	A	NL	F	Age 41 - 65	60	
WAKE	11/03/2020	voter	02-03	02-03	DEM	O	UN	F	Age 18 - 25	1	
